"Continue","Đăng nhập"
"Connect","Kết nối"
"Disconnect","Disconnect"
"Login","Đăng nhập"
"Register","Đăng ký"
"Unable to retrieve access code","Không thể truy xuất mã truy cập"
"Required HTTP method is not supported","Yêu cầu phương thức HTTP không được hỗ trợ"
"Unspecified OAuth error occurred","Lỗi không xác định OAuth xảy ra"
"HTTP error %d occurred while issuing request","HTTP lỗi %d xả ra trong khi phát hành yêu cầu"
"No access token available","Không có mã thông báo truy cập có sẵn"
"No refresh token, nothing to revoke","Không có mã thông báo làm mới, không có gì để thu hồi"
"No refresh token, unable to refresh access token","Không có mã thông báo làm mới, không thể để làm mới truy cập mã thông báo"
"Unable to retrieve request token","Không thể truy xuất mã thông báo yêu cầu"
"Unable to retrieve access token","Không thể truy xuất mã thông báo truy cập"
"Unable to proceed without an access token","Không thể tiếp tục mà không có một mã thông báo truy cập"
"You have successfully disconnected your Facebook account from our store account.","Bạn đã ngắt kết nối thành công tài khoản Facebook của bạn từ tài khoản lưu trữ của chúng tôi."
"Facebook Connect process aborted.","Quá trình kết nối Facebook bị hủy bỏ"
"Sorry, "%s" error occured. Please try again.","Rất tiêc, "%s" có lỗi xảy ra. Vui lòng thử lại."
"Your Facebook account is already connected to one of our store accounts.","Your Facebook account is already connected to one of our store accounts."
"Your Facebook account is now connected to your store accout. You can now login using our Facebook Connect button or using store account credentials you will receive to your email address.","Tài khoản Facebook của bạn bây giờ là kết nối với accout cửa hàng của bạn. Bạn có thể bây giờ đăng nhập bằng cách sử dụng nút Facebook Connect của chúng tôi hoặc bằng cách sử dụng tài khoản lưu trữ credentials bạn sẽ nhận được đến địa chỉ email của bạn"
"You have successfully logged in using your Facebook account.","Bạn đã đăng nhập thành công trong việc sử dụng tài khoản Facebook của bạn."
"We have discovered you already have an account at our store. Your Facebook account is now connected to your store account.","Chúng tôi đã phát hiện ra bạn đã có tài khoản tại cửa hàng của chúng tôi. Tài khoản Facebook của bạn bây giờ là kết nối với tài khoản lưu trữ của bạn."
"Sorry, could not retrieve your Facebook first name. Please try again.","Xin lỗi, không thể lấy tên Facebook của bạn. Xin vui lòng thử lại."
"Sorry, could not retrieve your Facebook last name. Please try again.","Xin lỗi, không thể lấy họ Facebook của bạn. Xin vui lòng thử lại."
"Your Facebook account is now connected to your new user accout at our store. Now you can login using our Facebook Connect button or using store account credentials you will receive to your email address.","Tài khoản Facebook của bạn bây giờ là kết nối với accout người dùng mới của bạn tại cửa hàng của chúng tôi. Bây giờ bạn có thể đăng nhập bằng cách sử dụng nút Facebook Connect của chúng tôi hoặc bằng cách sử dụng thông tin đăng nhập tài khoản cửa hàng bạn sẽ nhận được đến địa chỉ email của bạn."
"You have successfully disconnected your Google account from our store account.","Bạn có thành công ngắt kết nối tài khoản Google của bạn từ tài khoản lưu trữ của chúng tôi."
"Google Connect process aborted.","Quá trình kết nối Google bị hủy bỏ."
"Your Google account is already connected to one of our store accounts.","Tài khoản Google của bạn đã được kết nối đến một tài khoản lưu trữ của chúng tôi."
"Your Google account is now connected to your store accout. You can now login using our Google Connect button or using store account credentials you will receive to your email address.","Tài khoản Google của bạn bây giờ là kết nối với accout cửa hàng của bạn. Bạn có thể bây giờ đăng nhập bằng cách sử dụng nút Google kết nối của chúng tôi hoặc bằng cách sử dụng tài khoản lưu trữ credentials bạn sẽ nhận được đến địa chỉ email của bạn."
"You have successfully logged in using your Google account.","Bạn đã đăng nhập thành công trong việc sử dụng tài khoản Google của bạn."
"We have discovered you already have an account at our store. Your Google account is now connected to your store account.","Chúng tôi đã phát hiện ra bạn đã có tài khoản tại cửa hàng của chúng tôi. Tài khoản Google của bạn bây giờ là kết nối với tài khoản lưu trữ của bạn."
"Sorry, could not retrieve your Google first name. Please try again.","Xin lỗi, không thể lấy tên Google của bạn. Xin vui lòng thử lại."
"Sorry, could not retrieve your Google last name. Please try again.","Xin lỗi, không thể lấy họ của bạn qua Google. Xin vui lòng thử lại."
"Your Google account is now connected to your new user accout at our store. Now you can login using our Google Connect button or using store account credentials you will receive to your email address.","Tài khoản Google của bạn bây giờ là kết nối với accout người dùng mới của bạn tại cửa hàng của chúng tôi. Bây giờ bạn có thể đăng nhập bằng cách sử dụng nút Google kết nối của chúng tôi hoặc bằng cách sử dụng thông tin đăng nhập tài khoản cửa hàng bạn sẽ nhận được đến địa chỉ email của bạn."
"You have successfully disconnected your Twitter account from our store account.","You have successfully disconnected your Twitter account from our store account."
"Twitter Connect process aborted.","Twitter Connect process aborted."
"Your Twitter account is already connected to one of our store accounts.","Your Twitter account is already connected to one of our store accounts."
"Your Twitter account is now connected to your store accout. You can now login using our Twitter Connect button or using store account credentials you will receive to your email address.","Your Twitter account is now connected to your store accout. You can now login using our Twitter Connect button or using store account credentials you will receive to your email address."
"You have successfully logged in using your Twitter account.","You have successfully logged in using your Twitter account."
"We have discovered you already have an account at our store. Your Twitter account is now connected to your store account.","We have discovered you already have an account at our store. Your Twitter account is now connected to your store account."
"Sorry, could not retrieve your Twitter last name. Please try again.","Sorry, could not retrieve your Twitter last name. Please try again."
"Your Twitter account is now connected to your new user accout at our store. Now you can login using our Twitter Connect button.","Your Twitter account is now connected to your new user accout at our store. Now you can login using our Twitter Connect button."
"Since Twitter doesn\'t support third-party access to your email address, we were unable to send you your store accout credentials. To be able to login using store account credentials you will need to update your email address and password using our <a href="%s">Edit Account Information</a>.","Since Twitter doesn\'t support third-party access to your email address, we were unable to send you your store accout credentials. To be able to login using store account credentials you will need to update your email address and password using our <a href="%s">Edit Account Information</a>."
"Google Connect","Kết nối Google "
"Facebook Connect","Kết nối Facebook"
"Twitter Connect","Kết nối Connect"
"Customer My Account Google Connect","Tài khoản Google của tôi"
"Customer My Account Facebook Connect","Tài khoản Facebook của tôi "
"Customer My Account Twitter Connect","Tài khảon Twitter của tôi"
"Connected as %s","Connected as %s"
"Email: %s","Email: %s"
"Facebook #: %s","Facebook #: %s"
"Gender: %s","Giới tính: %s"
"Birthday: %s","Ngày sinh: %s"
"You can connect store account with your Facebook account so you could login easier in the future.","Bạn có thể kết nối tài khoản lưu trữ với tài khoản Facebook của bạn vì vậy bạn có thể đăng nhập dễ dàng hơn trong tương lai."
"Google #: %s","Google #: %s"
"You can connect store account with your Google account so you could login easier in the future.","Bạn có thể kết nối tài khoản lưu trữ với tài khoản Google của bạn vì vậy bạn có thể đăng nhập dễ dàng hơn trong tương lai."
"Twitter #: %s","Twitter #: %s"
"You can connect store account with your Twitter account so you could login easier in the future.","Bạn có thể kết nối tài khoản lưu trữ với tài khoản Twitter của bạn vì vậy bạn có thể đăng nhập dễ dàng hơn trong tương lai."
"You can continue with checkout using your <strong>Google</strong> account.","Bạn có thể tiếp tục thanh toán sử dụng tài khoản <strong>Google</strong> ."
"You can continue with checkout using your <strong>Facebook</strong> account.","Bạn có thể tiếp tục thanh toán sử dụng tài khoản <strong>Facebook</strong> ."
"You can continue with checkout using your <strong>Twitter</strong> account.","Bạn có thể tiếp tục thanh toán sử dụng tài khoản <strong>Twitter</strong>."
"You can login using your Google account.","Bạn có thể đăng nhập sử dụng tài khoản Google của bạn."
"You can login using your Facebook account.","Bạn có thể đăng nhập sử dụng tài khoản Facebook của bạn."
"You can login using your Twitter account.","Bạn có thể đăng nhập sử dụng tài khoản Twitter của bạn."
"You can register using your Google account.","Bạn có thể đăng ký sử dụng tài khoản Google của bạn."
"You can register using your Facebook account.","Bạn có thể đăng ký sử dụng tài khoản Facebook của bạn."
"You can register using your Twitter account.","Bạn có thể đăng ký sử dụng tài khoản Twitter của bạn."